Common_name,Scientific_name,Set,Color,Power_text,Flavor_text,Predator,Flocking,Bonus_card,Victory_points,Nest_type,Egg_limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild_food,food_cost_flexible,food_cost_paid_by_cards,Total_food_cost,Swift_Start,North_America,Central_America,South_America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard_Birder,Bird_Bander,Bird_Counter,Bird_Feeder,Diet_Specialist,Enclosure_Builder,Endangered_Species_Protector,Falconer,Fishery_Manager,Food_Web_Expert,Forester,Large_Bird_Specialist,Nest_Box_Builder,Omnivore_Expert,Passerine_Specialist,Platform_Builder,Prairie_Manager,Rodentologist,Small_Clutch_Specialist,Viticulturalist,Wetland_Scientist,Wildlife_Gardener
Common Myna,Acridotheres tristis,asia,brown,"Copy the ""When Activated"" (brown) power of a bird in the [grassland] of the player on your left.",Mynas are skilled mimics and can imitate human speech.,FALSE,FALSE,FALSE,1,cavity,4,35,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Common Nighthawk,Chordeiles minor,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.","Nighthawks are crepuscular, hunting flying insects at dawn and dusk.",FALSE,FALSE,FALSE,3,ground,2,56,TRUE,TRUE,TRUE,2,0,0,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Common Nightingale,Luscinia megarhynchos,european,brown,Choose a food type. All players gain 1 of that food from the supply.,The nightingale's song has been called one of the most beautiful sounds of nature.,FALSE,FALSE,FALSE,3,bowl,4,23,TRUE,TRUE,TRUE,1,1,0,1,0,0,0,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Common Raven,Corvus corax,core,brown,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,"Ravens are omnivores whose diet includes insects, rodents, eggs, birds, and carrion.",FALSE,FALSE,FALSE,5,platform,2,135,TRUE,TRUE,TRUE,0,0,0,0,1,0,2,FALSE,FALSE,3,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Common Sandpiper,Actitis hypoleucos,asia,brown,Draw 1 [card] for each bird in your [wetland] with an [egg] on it. Keep 1 and discard the rest.,"Common sandpipers often forage alone, but can be found roosting in large groups.",FALSE,FALSE,FALSE,2,ground,2,40,FALSE,FALSE,TRUE,1,0,1,0,0,0,0,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Common Starling,Sturnus vulgaris,european,teal,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",Large flocks of starlings move in unison - the flock is called a murmuration.,FALSE,TRUE,FALSE,3,cavity,4,38,FALSE,TRUE,TRUE,1,1,0,1,0,0,0,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Common Swift,Apus apus,european,teal,"Discard up to 5 [invertebrate] from your supply. For each, tuck 1 [card] from the deck behind this bird.","Swifts stay in the air for months between breeding; the name Apus means (incorrectly) ""no feet.""",FALSE,TRUE,FALSE,5,cavity,2,46,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Common Tailorbird,Orthotomus sutorius,asia,yellow,Find a contiguous group of birds in your preserve that all have the same nest type. Lay 1 [egg] on each of them. [star] nests count as any nest type.,"To support and camouflage their nests, tailorbirds stitch leaves together with plant fibers.",FALSE,FALSE,FALSE,2,wild,2,13,TRUE,TRUE,FALSE,1,0,0,0,0,0,1,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Common Teal,Anas crecca,asia,teal,"For every 3 [egg] in your [wetland], draw 1 [card] from the deck. You may tuck up to 2 [card] from your hand behind this bird.",This small migratory duck has a range that covers much of the northern hemisphere.,FALSE,TRUE,FALSE,0,ground,4,61,FALSE,FALSE,TRUE,1,1,0,0,0,0,0,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Common Yellowthroat,Geothlypis trichas,core,brown,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.","This was one of the first American birds to be cataloged by Linnaeus, in 1766.",FALSE,FALSE,FALSE,1,bowl,4,18,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,FALSE,FALSE,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Cooper's Hawk,Accipiter cooperii,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.",Cooper's hawks hunt forest birds and mammals with great stealth.,TRUE,FALSE,FALSE,3,platform,2,79,TRUE,FALSE,FALSE,0,0,0,0,1,0,0,FALSE,FALSE,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Coppersmith Barbet,Psilopogon haemacephalus,asia,brown,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if there is one.","This bird's call is a repetative metallic ""tuk"" that sounds like a copper sheet being beaten.",FALSE,FALSE,FALSE,4,cavity,3,23,TRUE,FALSE,FALSE,1,0,0,1,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Corsican Nuthatch,Sitta whiteheadi,european,white,Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder.,"This vulnerable species is found only on the island of Corsica, where it feeds on pine seeds.",FALSE,FALSE,TRUE,4,cavity,2,21,TRUE,FALSE,FALSE,0,2,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Count Raggi's Bird-of-Paradise,Paradisaea raggiana,oceania,brown,Choose 1 other player. You both gain 1 [fruit] from the supply.,A bird-of-paradise is featured on the flag of Papua New Guinea.,FALSE,FALSE,FALSE,7,bowl,2,55,TRUE,FALSE,FALSE,1,0,0,2,0,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Crested Ibis,Nipponia nippon,asia,white,"Draw 2 new bonus cards and keep 1. Other players may discard any 2 resources ([wild], [egg], or [card]) to do the same.","There were only 10 wild crested ibises in the 1980s, but breeding programs are reintroducing them.",FALSE,FALSE,TRUE,7,platform,2,140,FALSE,FALSE,TRUE,1,0,2,0,0,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Crested Lark,Galerida cristata,asia,brown,"Discard 1 [seed]. If you do, lay 1 [egg] on this bird.","This lark raises its crest when it sings, in territorial disputes, and in courtship displays.",FALSE,FALSE,FALSE,5,ground,4,34,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Crested Pigeon,Ocyphaps lophotes,oceania,yellow,Cache up to 8 [seed] from your supply on this bird.,"Taking advantage of grain farming, this gregarious pigeon has greatly expanded its range in Australia.",FALSE,FALSE,FALSE,3,platform,4,45,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Crimson Chat,Epthianura tricolor,oceania,brown,Discard 1 [wild] to tuck 1 [card] from the deck behind this bird.,These birds may track rains in small flocks to find areas where food is more abundant.,FALSE,TRUE,FALSE,4,bowl,2,19,FALSE,TRUE,FALSE,1,1,0,1,0,0,0,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Dark-Eyed Junco,Junco hyemalis,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.",Juncos summer in the cool woods but will use more open habitats in the winter.,FALSE,TRUE,FALSE,3,ground,3,23,TRUE,TRUE,FALSE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Desert Finch,Rhodospiza obsoleta,asia,white,Lay 1 [egg] on this bird for each other bird in your [grassland].,These finches are not restricted to deserts---they also frequent towns and agricultural areas.,FALSE,FALSE,FALSE,6,bowl,4,26,FALSE,TRUE,FALSE,0,3,0,0,0,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Desert Wheatear,Oenanthe deserti,asia,brown,"For each bird in your [grassland] with an [egg] on it, roll any 1 [die]. Choose 1 type of food you rolled, and gain 1 of that food from the supply.",The desert wheatears that breed in the arid areas of Central Asia overwinter in northeast Africa.,FALSE,FALSE,FALSE,2,ground,2,27,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Dickcissel,Spiza americana,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.","This bird used to live in the eastern US, but its range has shrunk due to habitat loss.",FALSE,TRUE,FALSE,4,ground,3,25,FALSE,TRUE,FALSE,1,2,0,0,0,0,0,FALSE,FALSE,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Double-Crested Cormorant,Phalacrocorax auritus,core,brown,Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.,Cormorant colonies can be so dense that their guano kills the trees.,FALSE,TRUE,FALSE,3,platform,3,132,FALSE,FALSE,TRUE,0,0,1,0,0,0,1,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Downy Woodpecker,Picoides pubescens,core,white,Play an additional bird in your [forest]. Pay its normal cost.,This little woodpecker frequently joins mixed flocks.,FALSE,FALSE,FALSE,3,cavity,2,30,TRUE,FALSE,FALSE,1,1,0,1,0,0,0,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Dunnock,Prunella modularis,european,teal,"Choose 1 other player. For each action cube on their [grassland], lay 1 [egg] on this bird.",The chicks in a single nest of dunnocks often have different fathers.,FALSE,FALSE,FALSE,1,bowl,4,20,TRUE,FALSE,FALSE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Eastern Bluebird,Sialia sialis,core,white,Play an additional bird in your [grassland]. Pay its normal cost.,Bluebirds struggle to breed when there is a lack of tree cavities. Nest boxed help.,FALSE,FALSE,FALSE,4,cavity,5,33,FALSE,TRUE,FALSE,1,0,0,1,0,0,0,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Eastern Imperial Eagle,Aquila heliaca,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.","This was the heraldic bird of several monarchies, but very few of them remain.",TRUE,FALSE,FALSE,7,platform,2,200,FALSE,TRUE,FALSE,0,0,0,0,3,0,0,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Eastern Kingbird,Tyrannus tyrannus,core,pink,"When another player plays a bird in their [forest], gain 1 [invertebrate] from the supply.",The kingbird displays its orange crown while defending its territory.,FALSE,FALSE,FALSE,2,bowl,2,38,TRUE,TRUE,TRUE,1,0,0,1,0,0,0,TRUE,FALSE,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Eastern Phoebe,Sayornis phoebe,core,brown,All players gain 1 [invertebrate] from the supply.,"Phoebes use mud to attach nests to riverbanks, rocky outcrops, or human structures.",FALSE,FALSE,FALSE,3,wild,4,28,TRUE,TRUE,TRUE,1,0,0,1,0,0,0,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Eastern Rosella,Platycercus eximius,oceania,brown,All players gain 1 [nectar] from the supply. You also gain 1 [seed] from the supply.,This technicolor parrot is native to Australia and Tasmania; it has been introduced to New Zealand.,FALSE,FALSE,FALSE,4,cavity,3,48,TRUE,TRUE,FALSE,0,1,0,0,0,2,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Eastern Screech-Owl,Megascops asio,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.","These owls live near humans, but because they're small and nocturnal, they're rarely seen.",TRUE,FALSE,FALSE,4,cavity,2,51,TRUE,FALSE,FALSE,1,0,0,0,1,0,0,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Eastern Whipbird,Psophodes olivaceus,oceania,brown,Choose 1 other player. You both gain 1 [seed] from the supply.,This secretive bird’s call is a long note followed by a whipcrack-like noise.,FALSE,FALSE,FALSE,5,bowl,2,30,TRUE,FALSE,FALSE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Eleonora's Falcon,Falco eleonorae,european,brown,"Roll all dice not in the birdfeeder. If any are [rodent], place 1 [egg] on this card.","Eleonora of Arborea was the first European ruler to outlaw hunting bird nests, in 1392.",FALSE,FALSE,FALSE,6,ground,2,95,FALSE,FALSE,TRUE,1,0,0,0,1,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Emu,Dromaius novaehollandiae,oceania,brown,"Gain all [seed] that are in the birdfeeder. Keep half (rounded up), then choose how to distribute the remainder among the other player(s).",Some indigenous cultures see an emu in the clouds of the Milky Way---it emerges at nesting time.,FALSE,FALSE,FALSE,4,ground,6,*,TRUE,TRUE,TRUE,1,1,0,1,0,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Eurasian Collared-Dove,Streptopelia decaocto,european,teal,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.","In Greek myth, this mournful-sounding bird was once a servant who complained about her wages",FALSE,TRUE,FALSE,5,platform,2,52,FALSE,TRUE,FALSE,0,1,0,1,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
Eurasian Coot,Fulica atra,asia,brown,Tuck up to 3 [card] from your hand behind this bird.,Coots have lobed toes -- not webbed feet -- that help them swim through water and walk on mud.,FALSE,TRUE,FALSE,4,ground,4,75,FALSE,FALSE,TRUE,0,1,0,0,0,0,0,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Eurasian Eagle-Owl,Bubo bubo,asia,brown,"Up to 3 times, draw 1 [card] from the deck. When you stop, if the birds' total wingspan is less than 110 cm, tuck them behind this bird. If not, discard them.","These owls prey on rodents, rabbits, and pigeons, and have been seen taking even larger animals.",TRUE,FALSE,FALSE,4,platform,2,174,TRUE,TRUE,FALSE,0,0,0,0,2,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Eurasian Golden Oriole,Oriolus oriolus,european,pink,"When another player takes the ""gain food"" action, gain 1 [invertebrate] or [fruit] from the birdfeeder at the end of their turn.",This bird builds a cup-shaped nest suspended under a branch high in a tree.,FALSE,FALSE,FALSE,4,wild,2,46,TRUE,TRUE,FALSE,1,0,0,1,0,0,1,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Eurasian Green Woodpecker,Picus viridis,european,teal,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.","Unlike other woodpeckers, this bird feeds mainly on the ground.",FALSE,FALSE,FALSE,4,cavity,3,48,TRUE,TRUE,FALSE,1,0,0,1,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Eurasian Hobby,Falco subbuteo,european,white,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",This falcon catches insects and birds in flight.,TRUE,FALSE,FALSE,4,platform,2,75,TRUE,TRUE,TRUE,1,0,0,0,1,0,0,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Eurasian Hoopoe,Upupa epops,asia,white,Steal 1 [invertebrate] from each of your neighbors. Each neighbor from whom a [invertebrate] was stolen may gain 1 [wild] from the supply.,Hoopoes use their long bills to extract insect larvae from the ground or surface litter.,FALSE,FALSE,FALSE,7,cavity,5,46,FALSE,TRUE,FALSE,2,0,0,0,1,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
